Year,Day,tidepool_number,tidal_height,depth ,time_of_emersion,time_of_measurement,emersion_time,temp,[oxygen],DO,salinity,field_pH,lab_pH
2018,2,1,,22.05,13:28,15:55,147,18.4,15.26,157.9,34,8.68,NA
2018,2,1,,22.05,13:28,16:49,201,18.5,19.53,250,24,9.19,NA
2018,2,1,,22.05,13:28,17:14,226,18.6,18.93,217.13,27,NA,8.57
2018,2,1,,22.05,13:28,17:47,259,18.4,19.89,250,25,NA,8.9
2018,2,2,,14.35,13:31,16:00,149,17.9,13.16,136.3,33,8.58,NA
2018,2,2,,14.35,13:31,16:55,204,17.8,14.22,149.63,34,8.6,NA
2018,2,2,,14.35,13:31,17:22,231,17.9,12.96,136.73,34,NA,8.36
2018,2,2,,14.35,13:31,17:57,266,17.8,12.66,132.33,33,NA,8.42
2018,2,3,,12.6,14:30,16:50,140,16.7,13.62,140.67,34,8.27,NA
2018,2,3,,12.6,14:30,17:00,150,17.1,13.5,143.63,34,8.32,NA
2018,2,3,,12.6,14:30,17:29,179,17.3,14.7,149.8,35,NA,8.35
2018,2,3,,12.6,14:30,17:55,205,17.2,13.16,135.87,34,NA,8.28
2018,2,4,,17.2,15:53,16:30,37,16.5,12.13,124.77,34,8.19,NA
2018,2,4,,17.2,15:53,17:05,72,16.6,12.05,123.57,33,8.35,NA
2018,2,4,,17.2,15:53,17:32,99,16.8,11.68,120.13,34,NA,8.02
2018,2,4,,17.2,15:53,17:57,124,16.8,11.49,118.03,32,NA,8.06
2018,2,Ocean,,NA,NA,NA,NA,16,9.65,102.72,34,7.92,NA
2018,1,1,,NA,12:44,15:56,192,16.7,19.89,250,28,9.05,NA
2018,1,1,,NA,12:44,16:50,246,16.8,18.54,207.37,20,NA,9.28
2018,1,1,,NA,12:44,17:15,271,16.8,19.89,250,22,NA,9.46
2018,1,1,,NA,12:44,17:37,293,17,19.81,226,22,NA,9.42
2018,1,2,,NA,12:57,16:06,189,15.6,15.22,150.33,35,8.5,NA
2018,1,2,,NA,12:57,16:54,237,15.8,14.22,148.77,34,NA,8.48
2018,1,2,,NA,12:57,17:20,263,15.6,14.03,138.2,34,NA,8.43
2018,1,2,,NA,12:57,17:40,283,15.8,14.1,141.6,34,NA,8.47
2018,1,3,,NA,13:51,16:20,149,15.5,13.78,135.1,35,8.2,NA
2018,1,3,,NA,13:51,17:00,189,15.4,14.38,144.67,34,NA,8.38
2018,1,3,,NA,13:51,17:30,219,15.4,15.1,154.17,34.5,NA,8.34
2018,1,3,,NA,13:51,17:44,233,15.5,14.21,141.73,34,NA,8.37
2018,1,4,,NA,15:16,16:26,70,15.5,9.86,96.94,35,8.06,NA
2018,1,4,,NA,15:16,17:02,106,15.3,8.39,84.1,33,NA,8.21
2018,1,4,,NA,15:16,17:31,135,15.4,11.93,120.4,34,NA,8.18
2018,1,4,,NA,15:16,17:46,150,15.5,12.32,121.1,33,NA,8.26
2018,1,Ocean,,NA,NA,NA,NA,15.06666667,10.09,102.72,34,NA,7.94
2018,1,Ocean,,NA,NA,NA,NA,15.06666667,10.25,100.17,35,NA,7.99
2017,1,1,3.365928,NA,9:12,14:40,328,18.4,19.56,234.37,35.5,9.31,9.387
2017,1,1,3.365928,NA,9:12,15:15,363,17.8,19.21,201.97,36.5,9.47,9.518
2017,1,1,3.365928,NA,9:12,15:42,390,18.7,NA,205.83,35,9.4,9.573
2017,1,1,3.365928,NA,9:12,16:07,415,18.3,19.03,216.3,36,9.4,9.6
2017,1,2,2.675928,NA,11:02,14:47,225,17.6,17.37,219.83,35,8.59,8.681
2017,1,2,2.675928,NA,11:02,15:18,256,18.3,16.59,188.57,36,8.65,8.705
2017,1,2,2.675928,NA,11:02,15:46,284,17.9,NA,183.63,36,8.63,8.721
2017,1,2,2.675928,NA,11:02,16:11,309,17.9,16.78,181.87,36,8.64,8.729
2017,1,3,2.265928,NA,11:24,14:37,193,17.5,16.61,204.9,34.5,8.6,8.8
2017,1,3,2.265928,NA,11:24,14:56,212,17.7,NA,157.27,36,8.69,8.835
2017,1,3,2.265928,NA,11:24,15:17,233,17.5,15.79,163.17,36,8.7,8.9
2017,1,3,2.265928,NA,11:24,15:37,253,17.4,16.34,168.1,35,8.75,8.925
2017,1,4,1.555928,NA,12:17,14:53,156,16.4,NA,154,35,8.39,8.654
